"","aggregation","std_error","coverage"
"1","grid","clustered",0.94
"2","property","clustered",0.966
"3","county","clustered",0.91
"4","grid","classical",0.932
"5","property","classical",0.95
"6","county","classical",0.914
"7","pixel","classical",0.95
