"","aggregation","std_error","coverage"
"1","grid","clustered at grid",0.9
"2","property","clustered at property",0.92
"3","county","clustered at county",0.89
"4","grid","classical",0.89
"5","property","classical",0.925
"6","county","classical",0.93
"7","pixel","classical",0.84
"8","pixel","clustered at property",0.83
"9","pixel","clustered at grid",0.845
