"","aggregation","std_error","coverage"
"1","grid","clustered at grid",0.85
"2","property","clustered at property",0.955
"3","county","clustered at county",0.91
"4","grid","classical",0.665
"5","property","classical",0.845
"6","county","classical",0.645
"7","pixel","classical",0.51
"8","pixel","clustered at property",0.655
"9","pixel","clustered at grid",0.635
"10","pixel","clustered at county",0.78
