"","unit of analysis","fixed effects","se","0","0.1","0.25"
"1","pixel","treatment","clustered at grid",0.944,0.934,0.868
"2","pixel","treatment","clustered at county",0.934,0.918,0.9
"3","pixel","treatment","clustered at property",0.938,0.93,0.922
"4","pixel","treatment","clustered at pixel",0.94,0.938,0.794
