"","model","bias","RMSE"
"1","DID",-0.00442382032776235,0.0109511982298813
"2","Probit",0.00174792508737904,0.00553680229126869
"3","Logit",0.00254949595146586,0.00372824509246458
"4","Poisson",0.00268768142115527,0.00450310728529881
