"","model","bias","RMSE"
"1","DID",0.00900846231318773,0.0444102889369962
"2","Probit",0.0123822253967527,0.0370975199148442
"3","Logit",0.0128176342277063,0.0346647987911352
"4","Poisson",0.0129215084137007,0.0364135076902373
