"","aggregation","std_error","coverage"
"1","grid","clustered at grid",0.88
"2","property","clustered at property",0.965
"3","county","clustered at county",0.95
"4","grid","classical",0.565
"5","property","classical",0.82
"6","county","classical",0.565
"7","pixel","classical",0.395
"8","pixel","clustered at property",0.745
"9","pixel","clustered at grid",0.73
"10","pixel","clustered at county",0.845
