"","model","bias","RMSE"
"1","DID",0.000798716292187449,0.00599094218913536
"2","Probit",0.00527127595972201,0.0124089553216776
"3","Logit",0.00619941092556449,0.0137431017026218
"4","Poisson",0.00641812362897681,0.00702635272356753
