"","iteration","b0","b1","b2_0","b2_1","b3","std_a","std_v","std_p","pixel","grid","property","county","pixel.fe","grid.fe","property.fe","county.fe","treatment.fe","se_pixel","se_grid","se_property","se_county","bias","cover","notes","paramterization"
"29","29",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0110638575902812","0","keeping pixels after deforestation event",1
"30","30",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0125276910128383","0","keeping pixels after deforestation event",1
"31","31",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00349416110598251","1","keeping pixels after deforestation event",1
"32","32",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00551047994008653","1","keeping pixels after deforestation event",1
"33","33",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00612254160150512","0","keeping pixels after deforestation event",1
"34","34",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","5.55436122036575e-05","1","keeping pixels after deforestation event",1
"35","35",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00949436063021554","0","keeping pixels after deforestation event",1
"36","36",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","0.00118875694997704","1","keeping pixels after deforestation event",1
"37","37",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00778561823707692","0","keeping pixels after deforestation event",1
"38","38",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00718437584745108","0","keeping pixels after deforestation event",1
"39","39",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00643489538326215","0","keeping pixels after deforestation event",1
"40","40",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00403667030587624","1","keeping pixels after deforestation event",1
"41","41",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00784997182774029","0","keeping pixels after deforestation event",1
"42","42",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00943127162976166","0","keeping pixels after deforestation event",1
"43","43",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00646229483780221","0","keeping pixels after deforestation event",1
"44","44",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00892318738557208","0","keeping pixels after deforestation event",1
"45","45",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0111091018177782","0","keeping pixels after deforestation event",1
"46","46",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00556050150837507","1","keeping pixels after deforestation event",1
"47","47",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0115354092284172","0","keeping pixels after deforestation event",1
"48","48",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00562092081838651","1","keeping pixels after deforestation event",1
"49","49",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00277292315647333","1","keeping pixels after deforestation event",1
"50","50",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0133838185846987","0","keeping pixels after deforestation event",1
"51","51",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00240619199570597","1","keeping pixels after deforestation event",1
"52","52",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00761813028932419","0","keeping pixels after deforestation event",1
"53","53",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00775470603195478","0","keeping pixels after deforestation event",1
"54","54",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0065123164060908","0","keeping pixels after deforestation event",1
"55","55",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.0102608428072216","0","keeping pixels after deforestation event",1
"56","56",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00899540953753931","0","keeping pixels after deforestation event",1
"57","57",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00164926450028309","1","keeping pixels after deforestation event",1
"58","58",-0.552988817811266,0,-0.0313258986722142,-0.0313258986722142,-0.109248549249386,0.1,0.25,0,"1","0","0","0","0","0","0","0","1","1","0","0","0","-0.00362989378847335","1","keeping pixels after deforestation event",1
