"","aggregation","std_error","coverage"
"1","grid","clustered at grid",0.615
"2","property","clustered at property",0.86
"3","county","clustered at county",0.935
"4","pixel","clustered at property",0.55
"5","pixel","clustered at grid",0.51
"6","pixel","clustered at county",0.71
