"","mean_bias","pixel","grid","property","county","pixel.fe","grid.fe","property.fe","county.fe","treatment.fe","se_pixel","se_grid","se_property","se_county","RMSE","q05","q95","cover","sigma_p"
"29",-0.00488098663017827,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.00975696509303883,-0.018847095538485,0.00823924479990897,0.78,0.2
"30",-0.00237274030971772,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.0092058346715155,-0.0170198678187183,0.0116383969067626,0.8,0.2
"31",-0.00104020978371712,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0101929149071288,-0.0172857336291566,0.01433610359678,0.91,0.2
"32",-0.00235949258537322,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0071681124651976,-0.0137301339200159,0.00783017756291185,0.93,0.2
"33",-0.00265439765705388,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.00654822826519669,-0.0122047230818733,0.00643705232467151,0.74,0.2
"34",-0.00106849430789353,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0047940214613636,-0.00861236855922799,0.00658169020543554,0.915,0.2
"35",-0.00414469427728009,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00855624175132816,-0.0159190332872359,0.00641090603158075,0.87,0.2
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0.0179243887454221,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0188306128760147,0.00788873904120812,0.0277453439133816,0,0.3
"38",-0.005690513370511,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.0126022845755747,-0.0270925738922455,0.0113365159614635,0.315,0.3
"39",-0.005690513370511,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.0126022845755747,-0.0270925738922455,0.0113365159614635,0.66,0.3
"40",-0.005690513370511,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.0126022845755747,-0.0270925738922455,0.0113365159614635,0.75,0.3
"41",-0.005690513370511,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.0126022845755747,-0.0270925738922455,0.0113365159614635,0.845,0.3
"42",-0.00229375542573039,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.0101602859154181,-0.0198039652991945,0.0122922813555775,0.79,0.3
"43",-0.000350524193794547,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.0112750008015134,-0.0196901686434728,0.0174149719955081,0.935,0.3
"44",-0.00188218292306666,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0103642153955711,-0.0202560061368147,0.0121746739535044,0.905,0.3
"45",-0.00259254671638544,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.00776639720915721,-0.016170631551602,0.00914944427768308,0.715,0.3
"46",-0.000192884886304201,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.00485652349718802,-0.00816665873320387,0.00761874288117608,0.905,0.3
"47",-0.00428507680679865,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.01040614175221,-0.0212010264201977,0.0104133497207481,0.88,0.3
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
