"","0","0.05","0.10","0.15","0.25"
"grid",0.00651876885978019,0.00648944943313846,0.0111368375731773,0.0111368375731773,0.0138239255514449
"property",0.00917617885916973,0.00796404052553609,0.0114093670373282,0.0114093670373282,0.0113428379355722
"county",0.00678860870201876,0.00646239603456688,0.012095949147006,0.012095949147006,0.0129082666457754
"pixel",0.0079941812355275,0.00847631849324222,0.015018182680093,0.015018182680093,0.0189332482141489
