"","aggregation","std_error","coverage"
"1","grid","clustered at grid",0.815
"2","property","clustered at property",0.92
"3","county","clustered at county",0.92
"4","pixel","clustered at property",0.69
"5","pixel","clustered at grid",0.66
"6","pixel","clustered at county",0.76
