"","fix_effects","std_error","coverage","fe_cover_1","fe_cover_2","fe_cover_3"
"1","grid","clustered at grid",1,0.8,0.6,0.8
"2","property","clustered at property",1,0.8,1,0.8
"3","county","clustered at county",1,0.8,1,0.8
"4","grid","clustered at grid",1,0.8,0.6,0.8
"5","property","clustered at property",1,0.8,1,0.8
"6","county","clustered at county",1,0.8,1,0.8
