"","0","0.1","0.2","0.3"
"grid",-0.00122268702038711,-0.00179898079879136,-0.00241292186964601,-0.00153310354246544
"property",-0.00120068438426879,-0.00159060451323238,-0.00155082702584709,-0.0014427768662109
"county",-0.000997739629503953,-0.00191738222565172,-0.00215658203419593,-0.00156181130676047
"pixel",-0.00193771987790821,-0.00328349170814203,-0.00493207899994281,-0.00484535997116032
"grid fe",-0.00178433515480629,-0.00218436572169817,-0.00247919632997058,-0.000937013811688993
"property fe",-0.00186232711604778,-0.00167410404041332,-0.000890818188063584,-0.000180458176404111
"county fe",-0.00188458678028898,-0.00285520796944212,-0.00422959221954277,-0.00309260910802387
