"","0","0.1","0.2","0.3"
"grid fe",-0.00178433515480629,-0.00218436572169817,-0.00247919632997058,-0.000937013811688993
"property fe",-0.00186232711604778,-0.00167410404041332,-0.000890818188063584,-0.000180458176404111
"county fe",-0.00188458678028898,-0.00285520796944212,-0.00422959221954277,-0.00309260910802387
