"","iteration","b0","b1","b2_0","b2_1","b3","std_a","std_v","std_p","model","bias","parameterization"
"1","1",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00439838430535958",1
"2","2",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00529523674173956",1
"3","3",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.000925465392744474",1
"4","4",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00215196694376327",1
"5","5",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00247462396424305",1
"6","6",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00190932521405962",1
"7","7",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.000255231964119342",1
"8","8",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00292654293837969",1
"9","9",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.000948754243442845",1
"10","10",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00309926515613638",1
"11","11",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.0018817658340712",1
"12","12",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00084067620167879",1
"13","13",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.000368615944998475",1
"14","14",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-5.65479628179301e-05",1
"15","15",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00417489764335183",1
"16","16",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00183536006884523",1
"17","17",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.000346094514087816",1
"18","18",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00014734302528438",1
"19","19",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.000727195053890201",1
"20","20",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.000917909082433525",1
"21","21",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00122962860945944",1
"22","22",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00120969385382386",1
"23","23",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00416232197467308",1
"24","24",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.000940447406793079",1
"25","25",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.000232810366713118",1
"26","26",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00233793281675081",1
"27","27",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00229666961509882",1
"28","28",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.000927202217894108",1
"29","29",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00136131609515952",1
"30","30",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.000421640760062672",1
"31","31",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00314899268876882",1
"32","32",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00138444218137519",1
"33","33",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00253727650430719",1
"34","34",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00193698121574997",1
"35","35",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00395611507030129",1
"36","36",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00116934782689511",1
"37","37",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","9.56530847603821e-05",1
"38","38",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.000387433407131911",1
"39","39",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.0041130861099702",1
"40","40",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00703861005863585",1
"41","41",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00198041317026532",1
"42","42",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.00129909133329441",1
"43","43",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","0.000147308369336898",1
"44","44",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00156607078991593",1
"45","45",-1.02687445531591,0,-0.0581707334763688,-0.0581707334763688,-0.20286946298217,0,0.5,0,"DID","-0.00112181153195387",1
